title,company,location,salary,description,source,date_scraped
Data Analyst,GetYourGuide,"Berlin, Berlin, Germany",Not specified,No description available,LinkedIn,2024-12-04 15:14:25
Associate Data Analyst (f/m/d),Blacklane,"Berlin, Germany",Not specified,No description available,LinkedIn,2024-12-04 15:14:26
Data Analyst (m/w/d),Aristo Group,"Berlin, Germany",Not specified,No description available,LinkedIn,2024-12-04 15:14:29
Business Intelligence Analyst,COREcruitment Ltd,"Berlin, Germany",Not specified,No description available,LinkedIn,2024-12-04 15:14:31
"Data Analyst (m/w/d) Berlin, Hamburg, Munich",1KOMMA5°,"Berlin, Berlin, Germany",Not specified,No description available,LinkedIn,2024-12-04 15:14:33
Data Analyst,LANCH,"Berlin, Berlin, Germany",Not specified,No description available,LinkedIn,2024-12-04 15:14:36
Data Analyst (m/w/d) Ladeinfrastruktur,TotalEnergies,"Berlin, Berlin, Germany",Not specified,No description available,LinkedIn,2024-12-04 15:14:39
Data Analyst,Ciklo Talent,"Berlin, Berlin, Germany",Not specified,No description available,LinkedIn,2024-12-04 15:14:40
Data Analyst/Market Researcher,StriveNest,"Berlin, Berlin, Germany",Not specified,No description available,LinkedIn,2024-12-04 15:14:42
Marketing Data Analyst,SLAY,"Berlin, Berlin, Germany",Not specified,No description available,LinkedIn,2024-12-04 15:14:43
Business & Data Analyst (f/m/x),audibene,"Berlin, Berlin, Germany",Not specified,No description available,LinkedIn,2024-12-04 15:14:45
Working Student Data Analyst (x/f/m),Puls,"Berlin, Berlin, Germany",Not specified,No description available,LinkedIn,2024-12-04 15:14:47
Manufacturing Data Analyst,Deltia,"Berlin, Berlin, Germany",Not specified,No description available,LinkedIn,2024-12-04 15:14:50
BI Analyst (all genders),TeamViewer,"Berlin, Berlin, Germany",Not specified,No description available,LinkedIn,2024-12-04 15:14:51
Data Analyst*in,DKB | Deutsche Kreditbank AG,"Berlin, Berlin, Germany",Not specified,No description available,LinkedIn,2024-12-04 15:14:53
CRM Data Analyst (all genders),Zalando,"Berlin, Berlin, Germany",Not specified,No description available,LinkedIn,2024-12-04 15:14:55
Data Analyst / Data Engineer (m/f/d),SafeDriver Group,"Berlin, Berlin, Germany",Not specified,No description available,LinkedIn,2024-12-04 15:14:58
"Data Analyst / Decision Scientist, Digital Marketing",Vinted,"Berlin, Berlin, Germany",Not specified,No description available,LinkedIn,2024-12-04 15:15:00
Social Media Data Analyst (w/m/d),TLGG Agency,"Berlin, Germany",Not specified,No description available,LinkedIn,2024-12-04 15:15:01
"Data Analyst / Decision Scientist, Policy",Vinted,"Berlin, Germany",Not specified,No description available,LinkedIn,2024-12-04 15:15:03
Senior Data Analyst,Few&Far,"Berlin, Germany",Not specified,No description available,LinkedIn,2024-12-04 15:15:04
Data Analyst (m/w/d),CBTW,"Berlin, Berlin, Germany",Not specified,No description available,LinkedIn,2024-12-04 15:15:07
Data Analyst,LYNX Beleggen,"Berlin, Berlin, Germany",Not specified,No description available,LinkedIn,2024-12-04 15:15:08
Data Analyst,LYNX,"Berlin, Berlin, Germany",Not specified,No description available,LinkedIn,2024-12-04 15:15:10
Full-Stack Data Analyst (f/m/d),Upvest,"Berlin, Berlin, Germany",Not specified,No description available,LinkedIn,2024-12-04 15:15:12
Business Intelligence Analyst (f/m/d) - Fulfillment,Enpal,"Berlin, Berlin, Germany",Not specified,No description available,LinkedIn,2024-12-04 15:15:14
Lead Data Analyst,BMG - The New Music Company,"Berlin, Germany",Not specified,No description available,LinkedIn,2024-12-04 15:15:16
Senior Data Analyst,THRYVE,"Berlin, Germany",Not specified,No description available,LinkedIn,2024-12-04 15:15:18
Data Analyst (m/f/d) in IT security company,Zertificon Solutions GmbH,"Neukölln, Berlin, Germany",Not specified,No description available,LinkedIn,2024-12-04 15:15:20
Data Analyst (m/w/d),CHEPLAPHARM,"Berlin, Berlin, Germany",Not specified,No description available,LinkedIn,2024-12-04 15:15:21
Data Analyst (m/w),RIB Software,"Berlin, Berlin, Germany",Not specified,No description available,LinkedIn,2024-12-04 15:15:23
Business Intelligence Analyst (m/w/d),Table.Briefings,"Berlin, Berlin, Germany",Not specified,No description available,LinkedIn,2024-12-04 15:15:25
Manufacturing Data Analyst @ Deltia (Remote within Europe),Deltia,"Berlin, Berlin, Germany",Not specified,No description available,LinkedIn,2024-12-04 15:15:27
Social Media Data Analyst (w/m/d),TLGG Agency,"Berlin, Berlin, Germany",Not specified,No description available,LinkedIn,2024-12-04 15:15:29
Business & Data Analyst (m/w/d),JB Commercial Furniture,"Berlin, Berlin, Germany",Not specified,No description available,LinkedIn,2024-12-04 15:15:31
BI Business Analyst (m/f/d),Lloyds Bank GmbH,"Berlin, Berlin, Germany",Not specified,No description available,LinkedIn,2024-12-04 15:15:33
Senior Data Analyst (f/m/x),CarOnSale,"Berlin, Germany",Not specified,No description available,LinkedIn,2024-12-04 15:15:35
Senior Data Analyst (f/m/d),Blacklane,"Berlin, Germany",Not specified,No description available,LinkedIn,2024-12-04 15:15:36
"Data Analyst, Merge Mansion",Metacore,"Berlin, Berlin, Germany",Not specified,No description available,LinkedIn,2024-12-04 15:15:39
Digital Data Specialist,StriveNest,"Berlin, Berlin, Germany",Not specified,No description available,LinkedIn,2024-12-04 15:15:42
Operations Data Analyst (d/f/m),Taxfix,"Berlin, Berlin, Germany",Not specified,No description available,LinkedIn,2024-12-04 15:15:43
Marketing Data Analyst,Metacore,"Berlin, Berlin, Germany",Not specified,No description available,LinkedIn,2024-12-04 15:15:45
Marketing Data Analyst (w/m/d),HeyJobs,"Berlin, Germany",Not specified,No description available,LinkedIn,2024-12-04 15:15:47
Business / Data Analyst (m/w/d),TieTalent,"Berlin, Berlin, Germany",Not specified,No description available,LinkedIn,2024-12-04 15:15:48
Young Professional Client Data Analyst (m/f/d) ←,Talentschmiede Unternehmensberatung AG,"Berlin, Berlin, Germany",Not specified,No description available,LinkedIn,2024-12-04 15:15:51
Data Analyst – Credit Risk Analytics (w/m/d),ING Deutschland,"Berlin, Berlin, Germany",Not specified,No description available,LinkedIn,2024-12-04 15:15:54
Health Data Analyst*in (m/w/div),Deutsche Rentenversicherung Bund,"Berlin, Berlin, Germany",Not specified,No description available,LinkedIn,2024-12-04 15:15:55
Game Data Analyst (World of Warships),Wargaming,"Berlin, Germany",Not specified,No description available,LinkedIn,2024-12-04 15:15:57
Junior Data Engineer (m/f/d),Terra One,"Berlin, Berlin, Germany",Not specified,No description available,LinkedIn,2024-12-04 15:15:58
Senior Data Analyst,refurbed,"Berlin, Germany",Not specified,No description available,LinkedIn,2024-12-04 15:16:00
Lead Data Analyst (f/m/d),BMG - The New Music Company,"Berlin, Germany",Not specified,No description available,LinkedIn,2024-12-04 15:16:03
